V,D,EPR,traffic,Phi,Phi_per_EP
18,5,3,uniform,454.2857142857144,8.412698412698415
18,5,3,nearst-neighbour,530.0,9.814814814814815
18,5,3,shift_1,540.0,10.0
18,5,3,shift_half,180.0,3.3333333333333335
18,5,3,router-cluster,297.1428571428572,5.502645502645504
18,5,3,random-permute,154.28571428571428,2.857142857142857
32,6,3,uniform,960.0,10.0
32,6,3,nearst-neighbour,950.0,9.895833333333334
32,6,3,shift_1,960.0,10.0
32,6,3,shift_half,160.0,1.6666666666666667
32,6,3,router-cluster,960.0000000000002,10.000000000000002
32,6,3,random-permute,240.0,2.5
50,7,4,uniform,1913.4615384615383,9.567307692307692
50,7,4,nearst-neighbour,1990.0,9.95
50,7,4,shift_1,1000.0,5.0
50,7,4,shift_half,500.0,2.5
50,7,4,router-cluster,1531.25,7.65625
50,7,4,random-permute,400.0,2.0
98,11,6,uniform,5046.140350877191,8.581871345029237
98,11,6,nearst-neighbour,5870.0,9.982993197278912
98,11,6,shift_1,5880.0,10.0
98,11,6,shift_half,979.9999999999998,1.6666666666666663
98,11,6,router-cluster,3974.444444444444,6.759259259259259
98,11,6,random-permute,979.9999999999994,1.6666666666666656
128,12,6,uniform,7437.57575757575,9.684343434343424
128,12,6,nearst-neighbour,7670.0,9.986979166666666
128,12,6,shift_1,7680.0,10.0
128,12,6,shift_half,640.0,0.8333333333333334
128,12,6,router-cluster,6791.111111111101,8.84259259259258
128,12,6,random-permute,1280.0000000000002,1.666666666666667
162,13,7,uniform,10488.342857142874,9.248979591836749
162,13,7,nearst-neighbour,11330.0,9.991181657848324
162,13,7,shift_1,11340.0,10.0
162,13,7,shift_half,1619.999999999999,1.4285714285714277
162,13,7,router-cluster,8000.601503759398,7.055204147935977
162,13,7,random-permute,2268.0,2.0
242,17,9,uniform,18882.939068100615,8.66985264834739
242,17,9,nearst-neighbour,21770.0,9.995408631772268
242,17,9,shift_1,21780.0,10.0
242,17,9,shift_half,2420.0000000000186,1.1111111111111196
242,17,9,router-cluster,14426.959706959708,6.623948442130261
242,17,9,random-permute,3630.0000000000036,1.6666666666666683
