V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,220.01934235976796,8.462282398452613
13,4,2,nearst-neighbour,166.66666666666669,6.410256410256411
13,4,2,shift_1,130.0,5.0
13,4,2,shift_half,101.1111111111111,3.8888888888888884
13,4,2,router-cluster,100.00000000000001,3.8461538461538467
13,4,2,random-permute,81.25,3.125
31,6,3,uniform,674.5924027820798,7.253681750344945
31,6,3,nearst-neighbour,920.0,9.89247311827957
31,6,3,shift_1,620.0,6.666666666666667
31,6,3,shift_half,236.4406779661017,2.542372881355932
31,6,3,router-cluster,508.90804597701134,5.4721295266345304
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,1394.212915093005,6.114968925846513
57,8,4,nearst-neighbour,1993.918918918919,8.745258416311048
57,8,4,shift_1,1461.984732824428,6.412213740458017
57,8,4,shift_half,456.0,2.0
57,8,4,router-cluster,1039.4071957860901,4.558803490289869
57,8,4,random-permute,456.0,2.0
91,10,5,uniform,2740.287671145891,6.022610266254706
91,10,5,nearst-neighbour,4272.941176470591,9.391079508726573
91,10,5,shift_1,3033.333333333333,6.666666666666666
91,10,5,shift_half,556.1111111111111,1.222222222222222
91,10,5,router-cluster,2235.4975815781763,4.913181497974014
91,10,5,random-permute,908.4319993794702,1.9965538447900444
133,12,6,uniform,5432.069071399223,6.8071040994977725
133,12,6,nearst-neighbour,5123.57142857143,6.420515574650915
133,12,6,shift_1,3780.000000000001,4.736842105263159
133,12,6,shift_half,1218.3206106870214,1.5267175572519065
133,12,6,router-cluster,3695.2259163942103,4.630608917787231
133,12,6,random-permute,1329.9999999999995,1.666666666666666
183,14,7,uniform,8534.76000395534,6.662576115499875
183,14,7,nearst-neighbour,11815.384615384623,9.223563321923983
183,14,7,shift_1,6405.0,5.0
183,14,7,shift_half,1519.4343065693452,1.1861313868613155
183,14,7,router-cluster,6030.053375452821,4.707301620181749
183,14,7,random-permute,2395.1015228426318,1.8697123519458483
